,飯店編號,距離市中心
113,564498,"南屯區, 台中市 - 距市中心3.3公里"
114,25934748,"南區, 台中市 - 距市中心0.7公里"
115,4138262,"西區, 台中市 - 距市中心2.0公里"
116,300680,"中區, 台中市 - 位於市中心"
117,149099,"中區, 台中市 - 位於市中心"
118,67023,"北區, 台中市 - 距市中心0.2公里"
119,256240,"西屯區, 台中市 - 距市中心4.4公里"
120,7447452,"中區, 台中市 - 位於市中心"
121,256061,"梧棲區, 台中市 - 距市中心19.1公里"
122,6377126,"逢甲, 台中市 - 距市中心5.7公里"
123,6546318,"中區, 台中市 - 位於市中心"
124,27851969,"中區, 台中市 - 位於市中心"
125,1200570,"西區, 台中市 - 距市中心0.9公里"
126,730333,"和平區, 台中市 - 距市中心57.9公里"
127,2307880,"北區, 台中市 - 距市中心0.3公里"
128,1160085,"西區, 台中市 - 距市中心0.4公里"
129,434053,"東區, 台中市 - 距市中心88公尺"
130,734797,"北區, 台中市 - 位於市中心"
131,522587,"中區, 台中市 - 位於市中心"
132,8110292,"中區, 台中市 - 位於市中心"
133,20998886,"中區, 台中市 - 位於市中心"
134,6428111,"北區, 台中市 - 距市中心0.4公里"
135,4842342,"太平區, 台中市 - 距市中心2.5公里"
136,9883664,"西區, 台中市 - 距市中心1.3公里"
137,1158177,"逢甲, 台中市 - 距市中心5.6公里"
138,6913274,"東區, 台中市 - 距市中心0.3公里"
139,1254507,"逢甲, 台中市 - 距市中心5.7公里"
140,2374878,"西區, 台中市 - 距市中心1.4公里"
141,16478713,"中區, 台中市 - 位於市中心"
142,10558579,"逢甲, 台中市 - 距市中心5.0公里"
143,246344,"豐原區, 台中市 - 距市中心10.9公里"
144,1723744,"中區, 台中市 - 位於市中心"
145,928918,"北區, 台中市 - 位於市中心"
146,245747,"中區, 台中市 - 位於市中心"
147,7260156,"逢甲, 台中市 - 距市中心4.3公里"
148,252345,"南屯區, 台中市 - 距市中心3.0公里"
149,6994144,"逢甲, 台中市 - 距市中心4.9公里"
150,2100518,"新社區, 台中市 - 距市中心11.7公里"
151,6510594,"北屯區, 台中市 - 距市中心4.5公里"
152,27746044,"西屯區, 台中市 - 距市中心35.4公里"
153,3219911,"西區, 台中市 - 距市中心1.5公里"
154,10888987,"北區, 台中市 - 距市中心73公尺"
155,23126674,"中區, 台中市 - 位於市中心"
156,929466,"豐原區, 台中市 - 距市中心10.9公里"
157,16424623,"中區, 台中市 - 位於市中心"
158,7788184,"西屯區, 台中市 - 距市中心4.8公里"
159,13415509,"中區, 台中市 - 位於市中心"
160,1184373,"南屯區, 台中市 - 距市中心4.3公里"
161,298494,"北區, 台中市 - 位於市中心"
162,3590369,"中區, 台中市 - 位於市中心"
163,24252648,"西屯區, 台中市 - 距市中心3.9公里"
164,1197413,"南屯區, 台中市 - 距市中心3.2公里"
165,527769,"西區, 台中市 - 距市中心0.4公里"
166,867602,"北屯區, 台中市 - 距市中心1.6公里"
167,1060645,"太平區, 台中市 - 距市中心2.5公里"
168,5347424,"北區, 台中市 - 距市中心0.7公里"
169,1991561,"北區, 台中市 - 位於市中心"
170,1639633,"南屯區, 台中市 - 距市中心3.9公里"
171,1254558,"中區, 台中市 - 位於市中心"
172,6172064,"逢甲, 台中市 - 距市中心5.0公里"
173,1196148,"北屯區, 台中市 - 距市中心2.5公里"
174,502573,"中區, 台中市 - 位於市中心"
175,527770,"中區, 台中市 - 位於市中心"
176,519462,"西區, 台中市 - 距市中心0.7公里"
177,886103,"大雅區, 台中市 - 距市中心7.8公里"
178,4983793,"東區, 台中市 - 距市中心2.6公里"
179,246351,"北區, 台中市 - 距市中心0.3公里"
180,15898656,"霧峰區, 台中市 - 距市中心9.2公里"
181,60406,"谷關, 台中市 - 距市中心32.7公里"
182,407603,"西屯區, 台中市 - 距市中心4.1公里"
183,1621387,"西屯區, 台中市 - 距市中心5.4公里"
184,291195,"逢甲, 台中市 - 距市中心5.5公里"
185,789214,"太平區, 台中市 - 距市中心1.9公里"
186,8066947,"北區, 台中市 - 位於市中心"
187,7033715,"逢甲, 台中市 - 距市中心5.6公里"
188,240536,"北區, 台中市 - 距市中心1.2公里"
189,457521,"中區, 台中市 - 位於市中心"
190,237067,"南屯區, 台中市 - 距市中心3.2公里"
191,26843368,"北屯區, 台中市 - 距市中心3.2公里"
192,241996,"逢甲, 台中市 - 距市中心4.4公里"
193,28521603,"逢甲, 台中市 - 距市中心4.4公里"
194,25455222,"大甲區, 台中市 - 距市中心22.0公里"
195,548905,"西屯區, 台中市 - 距市中心4.6公里"
196,14496122,"西屯區, 台中市 - 距市中心2.6公里"
197,1623858,"南區, 台中市 - 距市中心0.7公里"
198,8812268,"大里區, 台中市 - 距市中心3.9公里"
199,4997807,"逢甲, 台中市 - 距市中心5.1公里"
200,2018880,"北區, 台中市 - 距市中心1.0公里"
201,689812,"豐原區, 台中市 - 距市中心11.1公里"
202,23126583,"沙鹿區, 台中市 - 距市中心12.9公里"
203,23070137,"后里區, 台中市 - 距市中心17.9公里"
204,2402417,"西區, 台中市 - 位於市中心"
205,18809966,"梧棲區, 台中市 - 距市中心19.2公里"
206,19923717,"逢甲, 台中市 - 距市中心4.2公里"
207,5815264,"大里區, 台中市 - 距市中心2.6公里"
208,1623662,"中區, 台中市 - 位於市中心"
209,894063,"谷關, 台中市 - 距市中心31.8公里"
210,246322,"谷關, 台中市 - 距市中心32.9公里"
211,15911652,"西區, 台中市 - 距市中心1.7公里"
212,529219,"西區, 台中市 - 距市中心1.1公里"
213,566867,"北屯區, 台中市 - 距市中心2.3公里"
214,1196154,"北區, 台中市 - 距市中心1.4公里"
215,1134991,"后里區, 台中市 - 距市中心18.0公里"
216,67021,"西區, 台中市 - 距市中心1.0公里"
217,5972022,"中區, 台中市 - 位於市中心"
218,298393,"霧峰區, 台中市 - 距市中心8.8公里"
219,7341277,"龍井鄉, 台中市 - 距市中心9.3公里"
220,4200738,"南區, 台中市 - 距市中心3.4公里"
221,6851829,"梧棲區, 台中市 - 距市中心18.7公里"
222,7338711,"沙鹿區, 台中市 - 距市中心15.0公里"
223,25940522,"西區, 台中市 - 距市中心1.7公里"
224,16568051,"東區, 台中市 - 位於市中心"
225,18778476,"中區, 台中市 - 位於市中心"
226,546545,"西區, 台中市 - 距市中心1.2公里"
227,4641303,"北屯區, 台中市 - 距市中心3.8公里"
228,4129854,"北屯區, 台中市 - 距市中心5.2公里"
229,1220328,"西屯區, 台中市 - 距市中心4.0公里"
230,888851,"中區, 台中市 - 位於市中心"
231,25467479,"梧棲區, 台中市 - 距市中心16.2公里"
232,10893974,"北區, 台中市 - 位於市中心"
233,27766137,"沙鹿區, 台中市 - 距市中心14.3公里"
234,272593,"豐原區, 台中市 - 距市中心10.9公里"
235,245773,"中區, 台中市 - 位於市中心"
236,4070570,"大里區, 台中市 - 距市中心2.6公里"
237,1648270,"中區, 台中市 - 位於市中心"
238,870753,"南屯區, 台中市 - 距市中心3.4公里"
239,280993,"南屯區, 台中市 - 距市中心2.6公里"
240,566628,"南區, 台中市 - 距市中心2.1公里"
241,399305,"南屯區, 台中市 - 距市中心2.9公里"
242,12180820,"西區, 台中市 - 距市中心0.4公里"
243,9115675,"南屯區, 台中市 - 距市中心4.1公里"
244,255791,"北屯區, 台中市 - 距市中心2.2公里"
245,256082,"南屯區, 台中市 - 距市中心3.2公里"
246,6587173,"逢甲, 台中市 - 距市中心4.5公里"
247,1166164,"逢甲, 台中市 - 距市中心4.8公里"
248,24247502,"梧棲區, 台中市 - 距市中心18.7公里"
249,8258564,"后里區, 台中市 - 距市中心18.0公里"
250,241354,"西屯區, 台中市 - 距市中心4.2公里"
251,4580530,"逢甲, 台中市 - 距市中心4.9公里"
252,27840400,"逢甲, 台中市 - 距市中心4.9公里"
253,17023201,"西區, 台中市 - 距市中心1.4公里"
254,1184745,"中區, 台中市 - 位於市中心"
255,13484046,"逢甲, 台中市 - 距市中心4.3公里"
